No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
2126,Bughill Farm,No trend,1.856597985,0.015803548,105,1876-10-01 00:00:00,10/1/1980
2127,Cullpeppers Dish,No trend,0.586538462,0.033067967,2,10/1/2011,10/1/2012
2128,Manor Farm South Creake,Slow decreasing,4.767379679,0.119055935,29,10/1/1994,10/1/2022
2129,Mossy Bottom,No trend,0.63123101,0.026738865,1,10/1/1982,10/1/1982
2130,Westley Road,Slow decreasing,5.652777778,0.23509073,4,10/1/2002,10/1/2005
2131,Woolhampton,Slow increasing,-7.405289413,0.572316848,15,10/1/2005,10/1/2019
2132,Hemsby,No trend,-0.381222179,0.003904166,2,10/1/1997,10/1/1998
2133,Adelaide House,Slow increasing,-16.14352659,0.156681955,28,10/1/1991,10/1/2018
2134,Little Ouseburn,No trend,-1.300619835,0.34703387,25,10/1/1995,10/1/2019
2135,Broadstairs Memorial,No trend,-0.773555392,0.247908301,38,10/1/1986,10/1/2023
2136,Swillbrook,Slow decreasing,4.627525253,0.545066641,48,10/1/1973,10/1/2020
2137,The Warrens,No trend,-1.547138047,0.332055952,36,10/1/1988,10/1/2023
2138,Morestead Hill,No trend,1.682936508,0.004298829,57,10/1/1966,10/1/2022
2139,Cheriton Wood,Slow increasing,-4.465667896,0.157468988,33,10/1/1990,10/1/2022
2142,Puxton 5,Slow increasing,-3.908106425,0.672340956,12,10/1/2003,10/1/2014
2143,West Harlinghill Plantation,Slow decreasing,8.455128205,0.265965784,22,10/1/1998,10/1/2019
2144,Eastfield Farm Easton,Slow increasing,-2.902210884,0.169658517,8,10/1/1992,10/1/1999
2145,Hammerpot Barn,No trend,-1.316996047,0.189002074,22,10/1/1992,10/1/2013
2146,Burrough Green,Slow decreasing,2.682142857,0.744816516,35,10/1/1985,10/1/2019
2149,Lower Chance Farm,Slow increasing,-5.291240926,0.171269907,17,10/1/1990,10/1/2006
2150,Swanley School,No trend,-0.483405483,0.006400829,2,10/1/1992,10/1/1993
2152,Bootle,Slow increasing,-2.844898897,0.464127534,38,10/1/1983,10/1/2020
2154,Grange Farm Aswarby,No trend,0.961918605,0.018155822,27,10/1/1973,10/1/1999
2155,Church House Hougham,No trend,0.18038961,0.015196083,3,10/1/1984,10/1/1986
2156,Valley Farm,Slow decreasing,8.750925926,0.205979426,17,10/1/1999,10/1/2015
2157,Croxton Park Bescaby,Slow decreasing,5.011262283,0.203505255,36,10/1/1974,10/1/2009
2158,Southey Barton,No trend,-0.247431338,0.054370746,32,10/1/1988,10/1/2019
2159,Little Hormeadbury Farm,No trend,0.743801653,0.011462654,37,10/1/1982,10/1/2018
2160,Taylors,Slow increasing,-15.98866011,0.960129612,35,10/1/1985,10/1/2019
2161,Mitchells Farm,No trend,1.329365079,0.127619492,16,10/1/2003,10/1/2018
2162,Oakley Recreation Ground,No trend,0.516666667,0.085981857,19,10/1/1995,10/1/2013
2163,Bedfield,Slow decreasing,2.423618516,0.875420302,9,10/1/2014,10/1/2022
2164,Preston Drove,No trend,-1.925925926,0.060532272,46,10/1/1975,10/1/2020
2165,Well House Bramfield,No trend,-1.363636364,0.200789251,15,10/1/2008,10/1/2022
2166,Manor Farm Codford,No trend,1.1625,0.015140185,11,10/1/2001,10/1/2011
2167,Hughenden Valley,No trend,1.006772476,0.008049798,1,10/1/2017,10/1/2017
2168,Southlands Nursery,No trend,-1.1,0.11664583,3,10/1/2019,10/1/2021
2169,Gatcombe,No trend,-0.618007214,0.011149841,37,10/1/1983,10/1/2019
2170,Walkern Mill,Slow increasing,-4.470289855,0.134371072,28,10/1/1996,10/1/2023
2171,The Lodge Middle Harling,No trend,0.452777778,0.020597288,42,10/1/1977,10/1/2018
2172,Beetley,No trend,0.240949675,0.050240247,10,10/1/2004,10/1/2013
2173,Cleyfield barn,No trend,-0.273706337,0.453636826,4,10/1/1994,10/1/1997
2174,Seaton Chalk,No trend,-0.030536659,0.013250316,7,10/1/2017,10/1/2023
2175,Kingsley 1,No trend,-0.494102856,0.062014839,14,10/1/1994,10/1/2007
2176,Bordeaux Farm,No trend,0.683104858,0.005813251,1,10/1/2007,10/1/2007
2177,Great Snarehill,No trend,1.016158084,0.126229834,2,10/1/2007,10/1/2008
2178,Friary Wonersh,No trend,1.553321678,0.086420213,3,10/1/1984,10/1/1986
2179,Hinxton,Slow increasing,-4.615384615,0.072515948,26,10/1/1998,10/1/2023
2180,Tilehouse lane,Slow decreasing,2.29323968,0.167286104,11,10/1/2007,10/1/2017
2181,Sweeps Lane,No trend,0.050963917,0.003711818,40,10/1/1982,10/1/2021
2182,Home Farm Great Gaddesden,No trend,1.723958333,0.014905045,33,10/1/1986,10/1/2018
2183,Whyr Farm,No trend,0.152892562,0.027744016,2,10/1/2018,10/1/2019
2184,Coney Weston,Slow decreasing,6.197222222,0.497481486,8,10/1/2002,10/1/2009
2185,Swanbourne,No trend,-0.950285714,0.327340825,34,10/1/1990,10/1/2023
2187,Weston Longville,No trend,-1.023402573,0.191571373,29,10/1/1974,10/1/2002
2188,Fairoak,Sudden upward change,-12.92825521,0.906692235,10,10/1/1992,10/1/2001
2189,Worthing Victoria Park,No trend,-0.455973193,0.054050103,17,10/1/2007,10/1/2023
2191,Yalding Road,No trend,1.66872428,0.405936736,1,10/1/2000,10/1/2000
2192,Earthholes Plantation,Slow decreasing,3.641911765,0.10269571,1,10/1/2002,10/1/2002
2193,Lodge Farm Biggin,No trend,-0.458757459,0.275178365,21,10/1/2003,10/1/2023
2195,Mill Lane Boyton,No trend,-0.726839827,0.256952497,3,10/1/1992,10/1/1994
2196,Cridling Stubbs,Slow increasing,-3.06875,0.294235422,8,10/1/2010,10/1/2017
2197,Laggots Farm,Slow increasing,-3.376984127,0.228271454,14,10/1/2010,10/1/2023
2198,Great Ryburg,No trend,0.417777398,0.396429899,13,10/1/1978,10/1/1990
2199,Oxton Hill,Slow increasing,-2.061788618,0.451364234,23,10/1/1999,10/1/2021
2200,Little Moor,No trend,0.641577061,0.035557989,47,10/1/1976,10/1/2022
2201,Knowle,No trend,1.492216743,0.387992013,6,10/1/1997,10/1/2002
2203,Telscombe,No trend,-0.277777778,0.135170378,5,10/1/2008,10/1/2012
2204,Cockley Cley Car Park,No trend,-1.125,0.163598758,25,10/1/1995,10/1/2019
2205,London Road,Slow decreasing,2.864583333,0.122821005,18,10/1/2001,10/1/2018
2206,Cotterell Court,Slow increasing,-2.028389075,0.014255694,1,10/1/2017,10/1/2017
2207,Calder Abbey,No trend,-1.223710317,0.001828252,46,10/1/1974,10/1/2019
2208,Shelton under Harley,Slow increasing,-5.457080499,0.528873077,3,10/1/1998,10/1/2000
2209,Kenchester,No trend,-0.732957649,0.01006904,46,10/1/1975,10/1/2020
2210,New England,Slow decreasing,4.845117845,0.142715476,2,10/1/2002,10/1/2003
2211,Besford Corner,Sudden downward change,4.615969216,0.846825585,9,10/1/1994,10/1/2002
2212,Almington,No trend,1.209911616,0.230518749,1,10/1/1984,10/1/1984
2213,Rushmore Lodge,No trend,-18.19887353,0.153704507,4,10/1/2014,10/1/2017
2214,Worlingham,No trend,-1.176169763,0.114364989,1,10/1/2007,10/1/2007
2215,Sopers Bottom,No trend,-0.955797471,0.05984037,18,10/1/2006,10/1/2023
2216,Crockenhill,No trend,-0.040769231,0.004704432,11,10/1/2010,10/1/2020
2217,Woolgarston,Slow decreasing,4.601190476,0.628996072,6,10/1/1990,10/1/1995
2218,Damerham,No trend,-1.481749311,0.094054759,8,10/1/2008,10/1/2015
2219,Bathurst Sawmills,No trend,0.453703704,0.019550218,2,10/1/1997,10/1/1998
2220,Field Barn Farm,No trend,-0.376274945,0.143243007,5,10/1/2019,10/1/2023
2221,Maple Hayes,Slow increasing,-2.71495251,0.446331994,18,10/1/1999,10/1/2016
2222,Lovers Lane,No trend,1.155411877,0.000667837,41,10/1/1982,10/1/2022
2223,Rookwood Farm,No trend,0.339123511,0.019708498,3,10/1/1968,10/1/1970
2224,Hoaden Court,No trend,1.274061857,0.120794269,54,10/1/1970,10/1/2023
2225,Alswick Hall Farm,No trend,-0.06,0.012471992,27,10/1/1997,10/1/2023
2226,Wrinsted Court Farm,No trend,-0.187229437,0.000203864,32,10/1/1985,10/1/2016
2227,Swallowholes,No trend,-0.495310245,0.052651965,6,10/1/2018,10/1/2023
2229,Drakley Heath,No trend,1.112792468,0.178593326,12,10/1/1978,10/1/1989
2230,Townlaw,Slow increasing,-2.515151515,0.534691825,3,10/1/2000,10/1/2002
2233,Thuxton House,No trend,0.975641026,0.37117855,33,10/1/1957,10/1/1989
2234,College Farm Cirencester,No trend,-0.13540744,0.052194131,2,10/1/2000,10/1/2001
2235,Fox Hill,No trend,-1.896043707,0.168361899,16,10/1/2005,10/1/2020
2236,Shillingthorpe 2,No trend,-1.320512821,0.289318411,20,10/1/2004,10/1/2023
2237,Oak Cottage,No trend,0.990809524,0.511493257,50,10/1/1970,10/1/2019
2238,Hay Fen,No trend,0.006737013,0.070117442,1,10/1/1998,10/1/1998
2239,Bekesbourne Hill Farm,No trend,-0.221169836,0.023414745,16,10/1/2005,10/1/2020
2240,Hough End,No trend,-0.956521739,0.5608332,24,10/1/1992,10/1/2015
2241,Northdown,No trend,-1.113888889,0.195831653,47,10/1/1973,10/1/2019
2242,Plex Road,No trend,1.338510011,0.075102334,30,10/1/1993,10/1/2022
2243,Ringmer Gote Farm,No trend,-0.439285714,0.084492239,20,10/1/2004,10/1/2023
2244,Woodlands,Slow increasing,-90.28571429,0.988068802,30,10/1/1977,10/1/2006
2245,Piddington,Slow decreasing,3.198232323,0.040859984,50,10/1/1967,10/1/2016
2246,Clearbury Down 2,No trend,1.7620024,0.011053612,11,10/1/2006,10/1/2016
2248,Southburn,No trend,-1.442063492,0.264623351,33,10/1/1991,10/1/2023
2249,Aston,Slow increasing,-13.49190771,0.423743097,13,10/1/2011,10/1/2023
2250,Devils Dyke Farm,Slow increasing,-3.677579365,0.29761921,20,10/1/2004,10/1/2023
2251,Stapeley Down Farm,No trend,-0.824771749,0.004516259,53,10/1/1949,10/1/2001
2252,Selby,No trend,-1.615116328,0.37124305,1,10/1/2007,10/1/2007
2253,Hound House,Slow decreasing,6.188888889,0.352425917,1,10/1/1988,10/1/1988
2254,Well Springs,Slow increasing,-226.5377753,0.971805742,17,10/1/1996,10/1/2012
2255,Bank Barrow,No trend,0.01781689,0.416092011,2,10/1/2022,10/1/2023
2256,Woodyates,Slow increasing,-4.194381322,0.033809796,33,10/1/1991,10/1/2023
2257,Goodwood Golf Course,No trend,-0.611688596,0.179064372,2,10/1/2022,10/1/2023
2258,Oak Ash,Slow increasing,-3.192921628,0.019497234,51,10/1/1973,10/1/2023
2259,Harewood Forest,No trend,0.22944224,0.024076709,7,10/1/1982,10/1/1988
2260,Brickworth,No trend,-1.090165165,0.009936637,57,10/1/1967,10/1/2023
2261,Carlby,No trend,0.602632275,0.027039499,46,10/1/1975,10/1/2020
2262,Great Casterton,Slow decreasing,2.345227273,0.129511737,27,10/1/1978,10/1/2004
2263,Aldenham,Slow decreasing,6.121527778,0.233313449,3,10/1/2002,10/1/2004
2266,Surbiton,Sudden downward change,19.30999695,0.805922274,4,10/1/2001,10/1/2004
2269,Albrighton,Slow decreasing,4.703380448,0.676229529,22,10/1/2002,10/1/2023
2270,Bures Water Tower,No trend,-0.561515152,0.127038769,17,10/1/1984,10/1/2000
2272,Witterage Green,Slow decreasing,4.22925944,0.76907957,23,10/1/1974,10/1/1996
2273,Box Tree Cottage,No trend,-0.314248252,0.031819823,29,10/1/1972,10/1/2000
2274,Broughton Vicarage,Slow decreasing,6.581586538,0.626025531,50,10/1/1973,10/1/2022
2275,Gade 2,Slow decreasing,2.144444444,0.137297433,17,10/1/2000,10/1/2016
2276,Harting Common,No trend,0.007675439,0.02223784,2,10/1/1984,10/1/1985
2277,Hillpool,No trend,-1.527289377,0.627612751,50,10/1/1965,10/1/2014
2278,Hodhill Farm,No trend,1.777777778,0.03640209,40,10/1/1971,10/1/2010
2279,Kersey,No trend,0.03,0.00352614,33,10/1/1990,10/1/2022
2280,Dunnsheath,No trend,0.059159203,0.28920146,2,10/1/2021,10/1/2022
2281,Newton Ketton,Slow increasing,-6.968861019,0.617037392,2,10/1/1978,10/1/1979
2282,Tilshead,Slow increasing,-39.52171094,0.141026376,9,10/1/2015,10/1/2023
2283,West Burton Hill,Slow increasing,-3.134132997,0.110005873,47,10/1/1977,10/1/2023
2284,Soames Place Ropley,No trend,-1.286713287,0.061210005,32,10/1/1992,10/1/2023
2285,Hill Top,Slow increasing,-94.75438393,0.901072411,19,10/1/1994,10/1/2012
2286,Bighton Cross Road,Slow increasing,-2.527777778,0.113492967,33,10/1/1991,10/1/2023
2287,Barkway,Slow increasing,-2.392613636,0.074721685,28,10/1/1996,10/1/2023
2288,Cherry Tree Cottage,No trend,1.03125,0.072563494,9,10/1/1982,10/1/1990
2289,Pyecombe Old Rectory,No trend,-1.327214452,0.131406793,49,10/1/1975,10/1/2023
2290,Green Hills,Sudden downward change,2.852380952,0.783064344,9,10/1/1987,10/1/1995
2291,Hatford,No trend,0.283042908,0.636245364,2,10/1/2003,10/1/2004
2292,Hertford Lane,Slow decreasing,8.19625,0.233910244,2,10/1/2003,10/1/2004
2293,Wyre Bridge,Slow increasing,-11.59655032,0.477942482,50,10/1/1973,10/1/2022
2294,Hermitage,No trend,0.285561133,0.018403266,13,10/1/1994,10/1/2006
2295,St Marys Church,Slow decreasing,3.315384615,0.134862666,9,10/1/2001,10/1/2009
2296,Chevening Kitchen Garden,No trend,0,0.010979205,10,10/1/2000,10/1/2009
2297,Old Hall Farm Woodford,Slow increasing,-7.828542781,0.707270279,29,10/1/1978,10/1/2006
2298,Sullington Cobden Farm,No trend,-0.165603402,0.040610739,14,10/1/1990,10/1/2003
2299,Driftway,Slow increasing,-2.076942764,0.160032593,2,10/1/2022,10/1/2023
